LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,FlagCodes
FIN,HHEXP,TOT,MLN_USD,A,2014,115286.889938061,
FIN,HHEXP,TOT,MLN_USD,A,2015,117573.052804421,
FIN,HHEXP,TOT,MLN_USD,A,2016,124395.068835941,
FIN,HHEXP,TOT,MLN_USD,A,2017,128193.184291024,
FIN,HHEXP,TOT,MLN_USD,A,2018,133594.975799266,
FIN,HHEXP,TOT,MLN_USD,A,2019,138381.447018158,
FIN,HHEXP,TOT,MLN_USD,A,2020,132778.159067892,
FIN,HHEXP,TOT,MLN_USD,A,2021,138409.654802882,
FRA,HHEXP,TOT,MLN_USD,A,2011,1282183.90742742,
FRA,HHEXP,TOT,MLN_USD,A,2012,1289329.16162096,
FRA,HHEXP,TOT,MLN_USD,A,2013,1343342.46673186,
FRA,HHEXP,TOT,MLN_USD,A,2014,1358427.67619988,
FRA,HHEXP,TOT,MLN_USD,A,2015,1362675.1061653,
FRA,HHEXP,TOT,MLN_USD,A,2016,1431052.38723192,
FRA,HHEXP,TOT,MLN_USD,A,2017,1462726.08529153,
FRA,HHEXP,TOT,MLN_USD,A,2018,1514654.58352484,
FRA,HHEXP,TOT,MLN_USD,A,2019,1596812.9880855,
FRA,HHEXP,TOT,MLN_USD,A,2020,1503316.37006151,
FRA,HHEXP,TOT,MLN_USD,A,2021,1606250.10141908,
GBR,HHEXP,TOT,MLN_USD,A,2011,1372948.64223921,
GBR,HHEXP,TOT,MLN_USD,A,2012,1403035.42028263,
GBR,HHEXP,TOT,MLN_USD,A,2013,1459841.12808988,
GBR,HHEXP,TOT,MLN_USD,A,2014,1506799.47953519,
GBR,HHEXP,TOT,MLN_USD,A,2015,1534839.82861527,
GBR,HHEXP,TOT,MLN_USD,A,2016,1645081.62740196,
GBR,HHEXP,TOT,MLN_USD,A,2017,1709142.9191726,
GBR,HHEXP,TOT,MLN_USD,A,2018,1794303.81196835,
GBR,HHEXP,TOT,MLN_USD,A,2019,1880467.42252288,
GBR,HHEXP,TOT,MLN_USD,A,2020,1615461.87987394,
GBR,HHEXP,TOT,MLN_USD,A,2021,1790300.06459718,
GRC,HHEXP,TOT,MLN_USD,A,2011,183431.397300365,
GRC,HHEXP,TOT,MLN_USD,A,2012,173569.25836383,
GRC,HHEXP,TOT,MLN_USD,A,2013,174407.343293838,
GRC,HHEXP,TOT,MLN_USD,A,2014,178479.008209895,
GRC,HHEXP,TOT,MLN_USD,A,2015,175483.618310942,
GRC,HHEXP,TOT,MLN_USD,A,2016,179609.332283225,
GRC,HHEXP,TOT,MLN_USD,A,2017,187224.618073621,
GRC,HHEXP,TOT,MLN_USD,A,2018,194024.112299994,
GRC,HHEXP,TOT,MLN_USD,A,2019,202156.617981587,
GRC,HHEXP,TOT,MLN_USD,A,2020,180333.248580879,
GRC,HHEXP,TOT,MLN_USD,A,2021,192046.295079415,
HUN,HHEXP,TOT,MLN_USD,A,2011,108138.396719327,
HUN,HHEXP,TOT,MLN_USD,A,2012,108699.180481646,
HUN,HHEXP,TOT,MLN_USD,A,2013,112143.957652801,
HUN,HHEXP,TOT,MLN_USD,A,2014,114249.498461775,
HUN,HHEXP,TOT,MLN_USD,A,2015,115826.587865073,
HUN,HHEXP,TOT,MLN_USD,A,2016,123836.387520753,
HUN,HHEXP,TOT,MLN_USD,A,2017,128692.064425256,
HUN,HHEXP,TOT,MLN_USD,A,2018,137671.378021144,
HUN,HHEXP,TOT,MLN_USD,A,2019,148359.465117972,
HUN,HHEXP,TOT,MLN_USD,A,2020,142019.376722506,
HUN,HHEXP,TOT,MLN_USD,A,2021,148696.60899251,
IRL,HHEXP,TOT,MLN_USD,A,2011,82381.4839226035,
IRL,HHEXP,TOT,MLN_USD,A,2012,82260.9558025231,
IRL,HHEXP,TOT,MLN_USD,A,2013,83523.4088459234,
IRL,HHEXP,TOT,MLN_USD,A,2014,84509.0717656141,
IRL,HHEXP,TOT,MLN_USD,A,2015,86756.1775627872,
IRL,HHEXP,TOT,MLN_USD,A,2016,93588.2168655688,
